hash	key
----	---
0x68 	noop
0x9b 	forward:
0x9 	turnRight:
0x6d 	turnLeft:
0x87 	heading:
0x37 	pointTowards:
0x42 	gotoX:y:
0x5b 	gotoSpriteOrMouse:
0x5c 	glideSecs:toX:y:elapsed:from:
0x22 	changeXposBy:
0x6e 	xpos:
0x67 	changeYposBy:
0x3d 	ypos:
0x82 	bounceOffEdge
0x4f 	setRotationStyle
0x6b 	xpos
0x92 	ypos
0x81 	heading
0x29 	say:duration:elapsed:from:
0x5 	say:
0x26 	think:duration:elapsed:from:
0x79 	think:
0x88 	show
0x52 	hide
0x86 	lookLike:
0x10 	nextCostume
0x2b 	startScene
0xc 	changeGraphicEffect:by:
0x58 	setGraphicEffect:to:
0x31 	filterReset
0x51 	changeSizeBy:
0x1a 	setSizeTo:
0x50 	comeToFront
0x47 	goBackByLayers:
0x4c 	costumeIndex
0x8 	sceneName
0x75 	scale
0x44 	startSceneAndWait
0x43 	nextScene
0x5e 	backgroundIndex
0x11 	playSound:
0x8c 	doPlaySoundAndWait
0x7b 	stopAllSounds
0x35 	playDrum
0x2d 	rest:elapsed:from:
0x78 	noteOn:duration:elapsed:from:
0x3 	instrument:
0x45 	changeVolumeBy:
0x7c 	setVolumeTo:
0x56 	volume
0x72 	changeTempoBy:
0x94 	setTempTo:
0x40 	tempo
0x66 	clearPenTrails
0x7e 	stampCostume
0x25 	putPenDown
0x98 	putPenUp
0x6 	penColor:
0x36 	changePenHueBy:
0x90 	setPenHueTo:
0x70 	changePenShadeBy:
0xe 	setPenShadeTo:
0x4 	changePenSizeBy:
0x14 	penSize:
0xb 	whenGreenFlag
0x80 	whenKeyPressed
0x74 	whenClicked
0x19 	whenSceneStarts
0x16 	whenSensorGreaterThan
0x4a 	whenIReceive
0x55 	broadcast:
0x83 	doBroadcastAndWait
0x20 	wait:elapsed:from:
0x2f 	doRepeat
0x28 	doForever
0x6f 	doIf
0x7 	doIfElse
0x18 	doWaitUntil
0x85 	doUntil
0x46 	stopScripts
0x41 	whenCloned
0x30 	createCloneOf
0x1f 	deleteClone
0x8e 	touching:
0x53 	touchingColor:
0x7d 	color:sees:
0x39 	distanceTo:
0x3e 	doAsk
0x4d 	answer
0x97 	keyPressed:
0x23 	mousePressed
0x21 	mouseX
0x71 	mouseY
0x3c 	soundLevel
0x91 	senseVideoMotion
0x5d 	setVideoState
0x4b 	setVideoTransparency
0x8f 	timer
0x24 	timerReset
0x69 	getAttribute:of:
0x2a 	timeAndDate
0x6a 	timestamp
0x38 	getUserName
0x63 	+
0x93 	-
0x3f 	*
0x99 	/
0x2 	randomFrom:to:
0x7f 	<
0x7a 	=
0x57 	>
0x77 	&
0x49 	|
0x76 	not
0x4e 	concatenate:with:
0x5a 	letter:of:
0x9c 	stringLength:
0x3b 	%
0x12 	rounded
0x32 	computeFunction:of:
0x27 	readVariable
0x54 	setVar:to:
0x5f 	changeVar:by:
0x64 	showVariable:
0x2c 	hideVariable:
0x9a 	contentsOfList:
0x48 	append:toList:
0x34 	deleteLine:ofList:
0x59 	setLine:ofList:to:
0x2e 	getLine:ofList:
0x60 	lineCount:ofList:
0x0 	list:contains:
0x3a 	showList:
0xd 	hideList:
0xf 	procDef
0x96 	call
0x33 	getParam
0x1d 	hideAll
0x73 	getUserID
0x6c 	drum:duration:elapsed:from:
0x1e 	midiInstrument:
0x89 	isLoud
0x15 	abs
0x1b 	sqrt
0x61 	doReturn
0xa 	stopAll
0x1 	showBackground:
0x8d 	nextBackground
0x17 	doForeverIf
0x65 	sayNothing
0x1c 	COUNT
0x62 	CLR_COUNT
0x8b 	INCR_COUNT
0x95 	print
0x13 	doForLoop
0x84 	doWhile
0x8a 	warpSpeed
